14 14
0 9 1
0 10 2
1 7 4
1 8 4
1 9 1
1 10 2
1 11 2
2 5 1
2 6 4
2 7 4
2 8 4
2 9 1
2 10 2
2 11 2
2 12 0
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 2
3 11 2
3 12 0
3 13 0
4 3 1
4 4 1
4 5 4
4 6 1
4 7 0
4 8 0
4 9 1
4 10 2
4 11 2
4 12 0
5 2 1
5 3 1
5 4 1
5 5 1
5 6 0
5 7 1
5 8 1
5 9 1
5 10 2
5 11 2
5 12 0
6 2 1
6 3 4
6 4 4
6 5 1
6 6 0
6 7 1
6 8 1
6 9 2
6 10 2
6 11 -1
7 1 1
7 2 4
7 3 4
7 4 4
7 5 1
7 6 1
7 7 1
7 8 1
7 9 2
7 10 2
7 11 0
8 1 1
8 2 4
8 3 4
8 4 1
8 5 1
8 6 4
8 7 1
8 8 2
8 9 2
8 10 0
9 0 1
9 1 1
9 2 4
9 3 1
9 4 0
9 5 1
9 6 1
9 7 2
9 8 2
9 9 2
9 10 0
10 0 1
10 1 4
10 2 1
10 3 0
10 4 0
10 5 1
10 6 1
10 7 2
10 8 2
10 9 0
11 1 4
11 2 1
11 3 1
11 4 1
11 5 1
11 6 2
11 7 2
12 2 2
12 3 2
12 4 2
12 5 2
13 3 2
